,Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
352,353,Automotive Technology,Bachelors,57300,99300,52%
353,353,Fashion Design,Bachelors,55500,99300,28%
354,353,Magazine Journalism,Bachelors,56400,99300,38%
355,356,Textile Technology,Bachelors,62300,99200,39%
356,356,American History (United States),Bachelors,60700,99200,51%
357,356,Architectural Technology,Bachelors,57400,99200,60%
358,359,Organizational Development,Bachelors,62300,99100,57%
359,360,Business Administration,Bachelors,62100,99000,51%
360,360,Interior Architecture,Bachelors,55300,99000,49%
361,360,Journalism & Mass Communication,Bachelors,54500,99000,45%
362,363,Business Administration & Accounting,Bachelors,61600,98900,54%
363,364,Environmental & Natural Resource Economics,Bachelors,60600,98800,66%
364,365,Neuroscience,Bachelors,60900,98700,60%
365,366,Business Management,Bachelors,60800,98600,52%
366,367,Computer Aided Drafting & Design (CADD),Bachelors,58000,98400,51%
367,367,Drama,Bachelors,57300,98400,43%
368,369,Bachelor in Science Nursing,Bachelors,78500,98300,87%
369,370,Linguistics,Bachelors,60800,98200,43%
370,371,Communication,Bachelors,56900,98100,46%
371,371,Nursing Science,Bachelors,77900,98100,84%
372,371,Writing,Bachelors,51400,98100,45%
373,374,French Language,Bachelors,57800,98000,48%
374,375,Integrated Marketing Communications,Bachelors,55100,97900,37%
375,376,Architectural Design,Bachelors,52000,97600,57%
376,377,Logistics Management,Bachelors,67900,97500,38%
377,377,Natural Sciences,Bachelors,51600,97500,57%
378,377,Public Affairs,Bachelors,61100,97500,51%
379,380,Journalism,Bachelors,54200,97400,44%
380,380,Technical Management,Bachelors,74800,97400,68%
381,380,General Science,Bachelors,58300,97400,59%
382,383,French Studies,Bachelors,60700,97300,59%
383,383,Marketing & Mass Communications,Bachelors,56500,97300,40%
384,383,Biology & Chemistry,Bachelors,57300,97300,66%
385,386,Digital Media,Bachelors,53200,97200,38%
386,387,Professional & Technical Writing,Bachelors,57300,96900,47%
387,387,Public Relations & Communication,Bachelors,53200,96900,49%
388,389,Textile Design,Bachelors,58400,96800,36%
389,390,Finance & Marketing,Bachelors,69100,96700,42%
390,390,Law,Bachelors,61600,96700,52%
391,392,Nursing,Bachelors,75300,96600,82%
392,392,Organizational Communication,Bachelors,54100,96600,49%
393,394,Architectural Studies,Bachelors,52500,96500,38%
394,394,Global Business,Bachelors,65400,96500,31%
395,394,Hydrology,Bachelors,53000,96500,-
396,394,Literature,Bachelors,54800,96500,45%
397,394,Agriculture,Bachelors,55100,96500,61%
398,399,Physiology,Bachelors,57100,96300,66%
399,400,Music Technology,Bachelors,53000,96200,39%
400,400,Pre-Medicine,Bachelors,59100,96200,69%
401,400,Web & Digital Media Development,Bachelors,62700,96200,37%
402,403,General Business,Bachelors,58000,96100,51%
403,403,Public Relations (PR),Bachelors,53500,96100,43%
404,403,History & Political Science,Bachelors,58900,96100,48%
405,406,Administration of Justice,Bachelors,52800,96000,53%
406,406,Biology,Bachelors,55300,96000,66%
407,406,Web Design & Development,Bachelors,63000,96000,45%
408,409,Personnel Management,Bachelors,59600,95900,67%
409,410,Computer Animation,Bachelors,54800,95800,42%
410,410,Quality Management,Bachelors,73300,95800,64%
411,410,Retail & Consumer Science,Bachelors,61600,95800,26%
412,413,Environmental Management,Bachelors,59100,95700,63%
413,414,History,Bachelors,56200,95600,47%
414,415,Environmental Biology,Bachelors,52100,95500,68%
415,415,Media Studies,Bachelors,58800,95500,39%
416,417,Apparel & Textile Manufacture,Bachelors,55800,95400,33%
417,417,Philosophy & Religion,Bachelors,51200,95400,59%
418,419,Publishing,Bachelors,54000,95300,40%
419,420,Environmental Geography,Bachelors,58300,95200,52%
420,421,Communication Studies & Journalism,Bachelors,52700,95100,45%
421,422,Environmental Studies,Bachelors,57000,95000,59%
422,422,Health Management,Bachelors,52000,95000,-
423,424,Architectural Engineering Technology,Bachelors,55400,94900,50%
424,425,Agribusiness Management,Bachelors,60400,94700,40%
425,426,Interpersonal Communications,Bachelors,51500,94600,51%
426,426,Retail Merchandising,Bachelors,60900,94600,34%
427,428,Diagnostic Medical Sonography,Bachelors,74100,94400,85%
